vehicle_id,driver_id,vehicle_model,vehicle_year,engine_cc,transmission_type,odometer_km,last_service_km,current_mileage,daily_distance_km,city_driving_percent,highway_driving_percent,driving_style,ac_usage_percent,fuel_price,fuel_type_before,e20_usage_percent,temperature,traffic_level,region,e20_mileage,user_reported_e20_mileage
VH00001,DR00001,Maruti Suzuki Alto K10,2021,1197,Manual,50501,979,15.4,11.6,57,43,Aggressive,46,115.17,E10 Blend,51,31,High,West Bengal,15.32,14.7
VH00002,DR00002,Mahindra XUV700,2016,1497,Manual,96461,628,19.25,73.5,46,54,Moderate,30,108.4,Petrol (E0),51,32,Medium,Odisha,18.69,18.4
VH00003,DR00003,Mahindra Bolero,2023,2198,Manual,22671,1972,15.74,23.5,49,51,Calm,83,109.19,E10 Blend,68,30,High,Bihar,14.72,15.2
VH00004,DR00004,Tata Punch,2012,1197,Manual,133634,4598,19.72,43.2,41,59,Calm,46,97.8,Petrol (E0),59,33,Low,Uttar Pradesh,18.61,18.6
VH00005,DR00005,Tata Punch,2022,998,Manual,36574,2544,20.14,31.3,35,65,Aggressive,65,106.25,E10 Blend,47,27,Low,Tamil Nadu,19.6,19.9
VH00006,DR00006,Toyota Innova Crysta,2021,1497,Automatic,42744,2827,20.16,28,27,73,Moderate,77,108.86,Petrol (E0),25,27,Low,Kerala,19.89,20
VH00007,DR00007,Hyundai Grand i10 Nios,2021,799,Automatic,47284,8529,23.28,52.7,45,55,Calm,18,112.04,Petrol (E0),68,32,Low,Maharashtra,21.8,21.3
VH00008,DR00008,Renault Kwid,2013,1199,Automatic,124643,3821,15.32,27.6,77,23,Calm,91,100.55,E10 Blend,24,23,High,Punjab,15.08,15.2
VH00009,DR00009,Maruti Suzuki Ertiga,2014,1497,Manual,116575,373,19.04,19.8,30,70,Calm,81,106.27,Petrol (E0),45,39,Medium,Bihar,18.11,17.8
VH00010,DR00010,Maruti Suzuki Swift,2012,1199,Manual,129587,9500,17.83,24.4,61,39,Calm,91,105.33,E10 Blend,89,31,Low,Gujarat,16.41,16.1
VH00011,DR00011,Renault Triber,2018,1197,Manual,77366,1648,18.05,30.6,70,30,Calm,82,103.8,Petrol (E0),23,32,High,Tamil Nadu,17.89,17.8
VH00012,DR00012,Toyota Innova Crysta,2026,1997,Manual,500,1256,15.81,15,78,22,Calm,52,107.03,E10 Blend,60,32,High,Tamil Nadu,15.11,14.2
VH00013,DR00013,Maruti Suzuki Baleno,2017,1197,Manual,86811,393,20.7,50.5,48,52,Moderate,24,109.9,Petrol (E0),50,30,Medium,Tamil Nadu,19.61,20.1
VH00014,DR00014,Volkswagen Virtus,2026,1197,Manual,3003,8600,18.54,6.7,53,47,Aggressive,42,101.67,Petrol (E0),20,32,Medium,Gujarat,18.44,18
VH00015,DR00015,Maruti Suzuki Dzire,2024,1498,Manual,12673,1029,19.5,50.2,43,57,Moderate,70,115.31,Petrol (E0),30,40,Medium,Rajasthan,19.19,19.5
VH00016,DR00016,Toyota Innova Crysta,2010,2393,Automatic,155367,1124,10.87,31.3,14,86,Moderate,33,116,Petrol (E0),25,29,High,Madhya Pradesh,10.85,10.8
VH00017,DR00017,Toyota Glanza,2021,799,Manual,49620,1120,19.5,38.5,71,29,Aggressive,70,93.82,E10 Blend,29,22,Medium,Uttarakhand,19.11,19.5
VH00018,DR00018,Maruti Suzuki Alto K10,2017,1199,Manual,79577,1006,18.33,49.5,89,11,Moderate,58,107.55,Petrol (E0),61,23,Medium,Bihar,18.07,17.6
VH00019,DR00019,Honda Amaze,2014,1497,Manual,118458,257,18.99,41.3,94,6,Calm,44,110.98,E10 Blend,86,23,Medium,West Bengal,18.32,18
VH00020,DR00020,Honda WR-V,2019,1497,Automatic,67241,301,19.93,54.1,32,68,Moderate,69,94.02,Petrol (E0),38,30,Low,Uttarakhand,19.57,19.6
VH00021,DR00021,Tata Altroz,2022,1198,Automatic,30674,84,21.29,8.1,82,18,Calm,18,101.53,E10 Blend,16,26,Low,Uttar Pradesh,21.29,20
VH00022,DR00022,Hyundai i20,2023,1199,Manual,27734,1963,19.05,61.2,57,43,Moderate,89,101.85,Petrol (E0),42,27,High,Uttar Pradesh,18.47,18.7
VH00023,DR00023,Toyota Glanza,2022,799,Automatic,40827,2053,18.79,45,60,40,Aggressive,74,111.89,Petrol (E0),40,29,Medium,West Bengal,18.25,18.79
VH00024,DR00024,Tata Tiago,2012,998,Manual,132728,2817,16.73,38.4,25,75,Moderate,70,108.77,E10 Blend,9,32,High,Maharashtra,16.72,16.7
VH00025,DR00025,Toyota Innova Crysta,2010,1498,Manual,146875,9500,11.4,49.6,59,41,Aggressive,47,106.5,E10 Blend,90,33,High,Maharashtra,10.45,10.7
VH00026,DR00026,Tata Nexon,2025,1197,Manual,15304,3924,25.02,39.8,42,58,Calm,31,116.98,Petrol (E0),97,22,Low,Rajasthan,23.63,23.4
VH00027,DR00027,Honda Amaze,2020,1498,Manual,55650,701,15.47,5,58,42,Aggressive,58,100.86,Petrol (E0),17,29,Medium,Gujarat,15.27,15.47
VH00028,DR00028,Renault Triber,2015,1498,Manual,94241,2118,16.11,22.2,28,72,Moderate,59,98.91,E10 Blend,43,25,High,Assam,15.94,16.1
VH00029,DR00029,Hyundai Grand i10 Nios,2023,1199,Automatic,27516,73,22.34,20.1,39,61,Calm,49,109.5,Petrol (E0),69,29,Medium,West Bengal,21.58,21.6
VH00030,DR00030,Maruti Suzuki WagonR,2014,1000,Automatic,107746,2817,16.78,16.6,53,47,Moderate,35,112.05,E10 Blend,20,27,High,Rajasthan,16.78,16.6
VH00031,DR00031,Kia Sonet,2018,1248,Automatic,80750,8814,17.06,36.8,73,27,Moderate,82,116.63,Petrol (E0),54,36,Medium,Rajasthan,16.68,16.3
VH00032,DR00032,Tata Nexon,2021,1197,Automatic,42380,8656,16.77,59.5,60,40,Moderate,81,111.02,E10 Blend,23,27,High,Tamil Nadu,16.14,15.4
VH00033,DR00033,Tata Punch,2012,1000,Manual,134565,2686,13.34,52.9,76,24,Aggressive,81,106.5,E10 Blend,87,25,High,Maharashtra,12.41,12.9
VH00034,DR00034,Toyota Innova Crysta,2012,1996,Manual,134092,5050,17.14,60.9,31,69,Moderate,27,104.88,E10 Blend,78,7,Low,Uttar Pradesh,16.92,15.7
VH00035,DR00035,Nissan Magnite,2023,1199,Manual,28126,3836,21,92.2,72,28,Moderate,80,114.41,Petrol (E0),42,29,Low,Telangana,20.46,20.1
VH00036,DR00036,Nissan Magnite,2018,1198,Manual,73660,3313,18.69,16.9,69,31,Moderate,27,99.62,E10 Blend,76,21,Medium,Uttar Pradesh,16.89,16.8
VH00037,DR00037,Tata Tiago,2018,1000,Automatic,76154,777,22.39,22.8,37,63,Calm,32,111.53,E10 Blend,92,31,Medium,Karnataka,20.83,21.1
VH00038,DR00038,Honda WR-V,2022,1498,Manual,40117,2605,16.73,29.3,37,63,Aggressive,25,110,Petrol (E0),43,36,Medium,Maharashtra,16.23,16.7
VH00039,DR00039,Maruti Suzuki Dzire,2010,1498,Manual,153963,3104,12.9,28.6,61,39,Aggressive,92,102.19,Petrol (E0),44,6,Low,Punjab,12.18,12.5
VH00040,DR00040,Honda Amaze,2014,1498,Manual,111031,1746,16.36,29.9,52,48,Moderate,85,101.33,E10 Blend,86,24,Low,Uttar Pradesh,15.56,15.3
VH00041,DR00041,Maruti Suzuki Ertiga,2016,1498,Manual,102177,4788,17.47,41.3,70,30,Moderate,64,107.27,Petrol (E0),38,37,Medium,Tamil Nadu,16.86,17.1
VH00042,DR00042,Volkswagen Virtus,2012,1497,Manual,131904,1294,16.81,41.1,61,39,Calm,75,108.99,E10 Blend,63,34,High,Odisha,15.93,15.1
VH00043,DR00043,Hyundai Grand i10 Nios,2024,998,Manual,21794,2576,20.23,19.5,44,56,Aggressive,72,115.52,Petrol (E0),19,25,Medium,Rajasthan,19.82,20.2
VH00044,DR00044,Hyundai Verna,2010,1197,Manual,153820,5851,16.82,31.5,32,68,Moderate,29,110.96,E10 Blend,74,26,Medium,Kerala,15.47,15.2
VH00045,DR00045,Honda City,2014,1248,Automatic,117179,2243,14.3,57.1,86,14,Moderate,56,113.63,E10 Blend,57,34,High,West Bengal,13.37,12.9
VH00046,DR00046,Honda WR-V,2025,1498,Manual,8054,1994,18.54,43.1,55,45,Moderate,63,102.95,Petrol (E0),10,32,High,Delhi,18.43,18
VH00047,DR00047,Kia Sonet,2015,1199,Automatic,96493,969,19.62,47.4,64,36,Calm,71,112.74,E10 Blend,62,26,Low,Maharashtra,18.74,18.6
VH00048,DR00048,Mahindra XUV700,2016,1997,Manual,102206,231,18.6,14.3,16,84,Calm,79,115.85,Petrol (E0),42,29,Low,Rajasthan,18.22,17.9
VH00049,DR00049,Maruti Suzuki Alto K10,2024,1000,Manual,17973,233,22.4,70.3,30,70,Moderate,92,114.31,Petrol (E0),51,23,Medium,Rajasthan,21.59,22.4
VH00050,DR00050,Mahindra XUV700,2010,1462,Automatic,143000,303,14.43,34.2,80,20,Moderate,63,106.92,E10 Blend,80,29,Medium,Kerala,13.4,12.9
VH00051,DR00051,Hyundai i20,2026,799,Manual,5107,4792,22.68,25.4,75,25,Moderate,58,110.64,E10 Blend,48,24,Low,Karnataka,22.32,22.2
VH00052,DR00052,Mahindra Bolero,2022,1997,Automatic,37538,2121,17.55,46.7,66,34,Calm,72,113.97,Petrol (E0),77,34,Medium,Madhya Pradesh,16.76,16.6
VH00053,DR00053,Nissan Magnite,2024,1199,Automatic,19678,2518,16.17,5,60,40,Aggressive,59,114.32,Petrol (E0),97,30,Medium,Maharashtra,15.43,15.3
VH00054,DR00054,Kia Sonet,2022,1198,Manual,37188,973,21.03,56.4,39,61,Moderate,57,108.49,Petrol (E0),86,27,High,Karnataka,20.02,19.9
VH00055,DR00055,Renault Triber,2016,1248,Manual,96711,50,18.49,16.4,100,0,Calm,51,109.89,E10 Blend,48,31,Medium,Tamil Nadu,18.23,17.8
VH00056,DR00056,Mahindra Bolero,2018,1497,Automatic,71492,638,15.87,52.3,24,76,Aggressive,67,104.03,Petrol (E0),35,24,Medium,Uttar Pradesh,15.87,15.4
VH00057,DR00057,Kia Sonet,2013,1199,Manual,129409,103,18.2,5,92,8,Calm,84,101.36,Petrol (E0),28,29,Low,Punjab,18.2,17.6
VH00058,DR00058,Maruti Suzuki WagonR,2011,998,Automatic,151417,3031,17.01,35.5,50,50,Moderate,63,110.69,Petrol (E0),66,24,Medium,Karnataka,16.13,15.2
VH00059,DR00059,Honda City,2025,1199,Manual,10942,9500,18.18,32.4,60,40,Aggressive,85,94.64,E10 Blend,44,18,Medium,Uttarakhand,17.41,17.4
VH00060,DR00060,Toyota Glanza,2016,1199,Manual,89854,8336,17.41,5,57,43,Calm,64,116.26,E10 Blend,34,32,High,Madhya Pradesh,17.33,17.4
VH00061,DR00061,Tata Nexon,2014,1198,Manual,113909,4576,15.93,28.6,32,68,Aggressive,68,115.55,Petrol (E0),47,26,Medium,Madhya Pradesh,15.64,15.2
VH00062,DR00062,Volkswagen Virtus,2019,1198,Manual,63640,3181,20.12,5,29,71,Moderate,66,110.27,Petrol (E0),5,31,Low,West Bengal,20.12,19.7
VH00063,DR00063,Maruti Suzuki Dzire,2012,1198,Automatic,132580,4017,18.47,5,38,62,Calm,78,114.13,E10 Blend,25,26,Low,Telangana,17.77,17.5
VH00064,DR00064,Hyundai Verna,2019,1498,Manual,69418,9500,18.43,31,61,39,Moderate,35,101.27,Petrol (E0),59,25,Medium,Uttar Pradesh,17.38,17
VH00065,DR00065,Mahindra XUV700,2018,2198,Manual,73081,5746,16.97,40.8,59,41,Calm,26,100.48,Petrol (E0),68,28,Medium,Gujarat,16.25,15.4
VH00066,DR00066,Volkswagen Virtus,2016,1198,Manual,96296,325,18.6,35.8,70,30,Calm,96,102.38,E10 Blend,22,32,High,Uttar Pradesh,18.34,18.6
VH00067,DR00067,Maruti Suzuki Baleno,2012,1497,Manual,131156,400,14,36,52,48,Moderate,68,111.76,E10 Blend,38,19,High,Karnataka,13.62,13.7
